int -> INT
i -> ID
= -> ASSIGN
5 -> NUMBER
; -> SEMI
printf -> ID
( -> LP
"i -> ID
:%d -> ID
\n -> ID
",i -> ID
) -> RP
; -> SEMI
printf -> ID
( -> LP
"i -> ID
+ -> ADD
+ -> ADD
:%d -> ID
\n -> ID
",i -> ID
+ -> ADD
+ -> ADD
) -> RP
; -> SEMI
printf -> ID
( -> LP
"After -> ID
i -> ID
+ -> ADD
+ -> ADD
:%d -> ID
\n -> ID
",i -> ID
) -> RP
; -> SEMI
printf -> ID
( -> LP
"+ -> ADD
+ -> ADD
i -> ID
:%d -> ID
\n -> ID
",+ -> ADD
+ -> ADD
i -> ID
) -> RP
; -> SEMI
printf -> ID
( -> LP
"i -> ID
- -> SUB
- -> SUB
:%d -> ID
\n -> ID
",i -> ID
- -> SUB
- -> SUB
) -> RP
; -> SEMI
printf -> ID
( -> LP
"After -> ID
i -> ID
- -> SUB
- -> SUB
:%d -> ID
\n -> ID
",i -> ID
) -> RP
; -> SEMI
printf -> ID
( -> LP
"- -> SUB
- -> SUB
i -> ID
:%d -> ID
\n -> ID
",- -> SUB
- -> SUB
i -> ID
) -> RP
; -> SEMI
