int -> INT
x -> ID
= -> ASSIGN
5 -> NUMBER
,y -> ID
= -> ASSIGN
3 -> NUMBER
; -> SEMI
printf -> ID
( -> LP
"x -> ID
&y -> ID
:%d -> ID
\n -> ID
",x -> ID
&y -> ID
) -> RP
; -> SEMI
printf -> ID
( -> LP
"x -> ID
|y -> ID
:%d -> ID
\n -> ID
",x -> ID
|y -> ID
) -> RP
; -> SEMI
printf -> ID
( -> LP
"x -> ID
^y -> ID
:%d -> ID
\n -> ID
",x -> ID
^y -> ID
) -> RP
; -> SEMI
printf -> ID
( -> LP
"~x -> ID
:%d -> ID
\n -> ID
",~x -> ID
) -> RP
; -> SEMI
printf -> ID
( -> LP
"x -> ID
< -> REL_OP
< -> REL_OP
1 -> NUMBER
:%d -> ID
\n -> ID
",x -> ID
< -> REL_OP
< -> REL_OP
1 -> NUMBER
) -> RP
; -> SEMI
printf -> ID
( -> LP
"x -> ID
> -> REL_OP
> -> REL_OP
1 -> NUMBER
:%d -> ID
\n -> ID
",x -> ID
> -> REL_OP
> -> REL_OP
1 -> NUMBER
) -> RP
; -> SEMI
